Date,Adj Close,Close,High,Low,Open,Volume
,ABDL.NS,ABDL.NS,ABDL.NS,ABDL.NS,ABDL.NS,ABDL.NS
2024-07-02,312.564208984375,317.8999938964844,324.79998779296875,306.70001220703125,320.0,49362110
2024-07-03,329.27886962890625,334.8999938964844,339.29998779296875,323.0,323.0,14342875
2024-07-04,328.54144287109375,334.1499938964844,344.8999938964844,331.20001220703125,339.0,5414930
2024-07-05,338.2752990722656,344.04998779296875,346.8999938964844,333.0,333.75,4231227
2024-07-08,334.5390930175781,340.25,347.3500061035156,337.54998779296875,347.0,2306336
2024-07-09,329.13140869140625,334.75,345.5,332.04998779296875,340.0,1815140
2024-07-10,325.34600830078125,330.8999938964844,338.0,316.5,337.0,2894014
2024-07-11,329.67218017578125,335.29998779296875,339.70001220703125,326.1000061035156,332.5,1768224
2024-07-12,323.7728576660156,329.29998779296875,339.79998779296875,327.54998779296875,337.0,1742750
2024-07-15,316.6445617675781,322.04998779296875,332.70001220703125,320.79998779296875,330.1499938964844,920342
2024-07-16,313.645751953125,319.0,326.8500061035156,318.0,322.6499938964844,751041
2024-07-18,304.99346923828125,310.20001220703125,321.0,308.79998779296875,318.8999938964844,943866
2024-07-19,298.6025695800781,303.70001220703125,314.54998779296875,299.1000061035156,310.20001220703125,1447369
2024-07-22,287.885498046875,292.79998779296875,307.5,289.8999938964844,302.95001220703125,1856715
2024-07-23,291.76922607421875,296.75,306.8999938964844,282.04998779296875,291.0,3981710
2024-07-24,304.6493225097656,309.8500061035156,314.8999938964844,297.5,300.0,2551603
2024-07-25,305.6325378417969,310.8500061035156,314.6499938964844,303.8999938964844,307.0,764199
2024-07-26,309.3196105957031,314.6000061035156,319.8500061035156,312.0,315.0,612876
2024-07-29,307.8939514160156,313.1499938964844,323.70001220703125,311.04998779296875,315.95001220703125,902332
2024-07-30,302.5845642089844,307.75,317.0,306.1000061035156,313.25,1021400
2024-07-31,303.02703857421875,308.20001220703125,312.8500061035156,306.6000061035156,308.0,588676
2024-08-01,294.9154968261719,299.95001220703125,309.6499938964844,298.54998779296875,307.6499938964844,791457
2024-08-02,295.99700927734375,301.04998779296875,305.5,295.0,296.95001220703125,484277
2024-08-05,281.0521545410156,285.8500061035156,300.0,284.25,289.0,939659
2024-08-06,283.4610290527344,288.29998779296875,302.3999938964844,285.8500061035156,290.0,707224
2024-08-07,295.8987121582031,300.95001220703125,302.3999938964844,290.25,295.0,452181
2024-08-08,284.1984558105469,289.04998779296875,302.20001220703125,287.75,300.1000061035156,709403
2024-08-09,287.3447265625,292.25,297.0,288.75,295.8999938964844,347147
2024-08-12,305.6325378417969,310.8500061035156,317.0,293.0,293.0,1951207
2024-08-13,297.5210266113281,302.6000061035156,318.54998779296875,300.04998779296875,314.6499938964844,922281
2024-08-14,295.9478759765625,301.0,315.0,299.6000061035156,315.0,2029030
2024-08-16,296.04620361328125,301.1000061035156,308.25,299.0,308.0,944799
2024-08-19,295.16131591796875,300.20001220703125,304.0,298.5,304.0,746334
2024-08-20,303.9610900878906,309.1499938964844,318.3999938964844,302.25,303.5,1997835
2024-08-21,304.99346923828125,310.20001220703125,313.79998779296875,308.1499938964844,310.0,516462
2024-08-22,327.31243896484375,332.8999938964844,334.5,308.70001220703125,310.0,4083038
2024-08-23,324.85443115234375,330.3999938964844,338.0,326.79998779296875,335.0,1203828
2024-08-26,321.60980224609375,327.1000061035156,333.70001220703125,322.5,331.3999938964844,776209
2024-08-27,341.8640441894531,347.70001220703125,352.8999938964844,324.54998779296875,326.8999938964844,3840047
2024-08-28,335.91558837890625,341.6499938964844,356.3999938964844,339.04998779296875,351.0,2789551
2024-08-29,338.4719543457031,344.25,347.20001220703125,339.04998779296875,343.3999938964844,1292909
2024-08-30,353.3676452636719,359.3999938964844,364.29998779296875,344.25,345.25,2746815
2024-09-02,345.6493835449219,351.54998779296875,371.8500061035156,351.0,371.0,1914886
2024-09-03,344.0762939453125,349.95001220703125,358.70001220703125,348.79998779296875,352.0,780325
2024-09-04,343.6829528808594,349.54998779296875,352.0,340.70001220703125,345.0,1100235
2024-09-05,351.45037841796875,357.45001220703125,359.8999938964844,350.0,352.95001220703125,1110685
2024-09-06,336.5546569824219,342.29998779296875,360.0,340.1000061035156,360.0,1033335
2024-09-09,341.6182556152344,347.45001220703125,349.95001220703125,336.04998779296875,342.0,1259369
2024-09-10,345.8460693359375,351.75,356.5,345.1000061035156,345.20001220703125,965531
2024-09-11,344.7153625488281,350.6000061035156,363.0,349.29998779296875,352.29998779296875,1433736
2024-09-12,348.40240478515625,354.3500061035156,365.0,352.1000061035156,353.29998779296875,1482023
2024-09-13,348.2057800292969,354.1499938964844,362.45001220703125,353.0,355.95001220703125,602906
2024-09-16,353.908447265625,359.95001220703125,372.3999938964844,355.54998779296875,356.0,2728702
2024-09-17,340.2417297363281,346.04998779296875,361.29998779296875,343.6499938964844,359.0,1080883
2024-09-18,339.8976135253906,345.70001220703125,349.8999938964844,342.20001220703125,345.8999938964844,701549
2024-09-19,333.1625671386719,338.8500061035156,357.25,332.75,353.0,1249217
2024-09-20,339.7501220703125,345.54998779296875,349.29998779296875,337.45001220703125,339.1499938964844,571925
2024-09-23,343.9288024902344,349.79998779296875,356.79998779296875,346.0,350.0,781850
2024-09-24,350.7130126953125,356.70001220703125,364.0,348.0,350.0,1115690
2024-09-25,342.5522766113281,348.3999938964844,358.29998779296875,345.6000061035156,357.1000061035156,594481
2024-09-26,339.2585144042969,345.04998779296875,351.95001220703125,343.8500061035156,348.3999938964844,550303
2024-09-27,335.079833984375,340.79998779296875,349.54998779296875,339.5,345.3999938964844,417855
2024-09-30,333.31005859375,339.0,349.45001220703125,337.29998779296875,345.0,481316
2024-10-01,336.3580627441406,342.1000061035156,345.04998779296875,334.04998779296875,339.0,630052
2024-10-03,323.9695129394531,329.5,341.0,328.04998779296875,335.0,618849
2024-10-04,314.9239196777344,320.29998779296875,331.45001220703125,318.5,329.3500061035156,625319
2024-10-07,303.1253356933594,308.29998779296875,327.3999938964844,305.1000061035156,324.1000061035156,1115149
2024-10-08,321.75726318359375,327.25,329.0,304.6000061035156,309.8999938964844,970741
2024-10-09,321.511474609375,327.0,331.45001220703125,324.25,328.0,265471
2024-10-10,323.9203796386719,329.45001220703125,331.0,325.54998779296875,327.79998779296875,252816
2024-10-11,322.2489013671875,327.75,332.04998779296875,325.0,325.79998779296875,216085
2024-10-14,338.4719543457031,344.25,347.95001220703125,322.04998779296875,328.8999938964844,1154897
2024-10-15,329.0822448730469,334.70001220703125,343.79998779296875,333.5,342.04998779296875,363871
2024-10-16,332.5235290527344,338.20001220703125,340.04998779296875,330.1000061035156,331.8999938964844,222169
2024-10-17,329.0822448730469,334.70001220703125,338.25,330.6000061035156,337.3500061035156,320049
2024-10-18,325.69012451171875,331.25,335.70001220703125,323.54998779296875,332.8999938964844,310027
2024-10-21,313.6949157714844,319.04998779296875,333.6000061035156,316.1000061035156,331.0,454518
2024-10-22,297.6193542480469,302.70001220703125,319.0,299.95001220703125,317.0,681424
2024-10-23,309.8603820800781,315.1499938964844,317.8999938964844,302.0,302.0,367623
2024-10-24,306.2225036621094,311.45001220703125,317.45001220703125,308.5,313.29998779296875,291337
2024-10-25,294.7188720703125,299.75,315.0,295.8999938964844,311.8999938964844,783810
2024-10-28,314.2356872558594,319.6000061035156,326.8999938964844,301.0,301.0,1112683
2024-10-29,324.4119873046875,329.95001220703125,332.8999938964844,317.0,324.0,1748663
2024-10-30,323.3304443359375,328.8500061035156,337.3999938964844,317.0,336.0,3487032
2024-10-31,319.15179443359375,324.6000061035156,329.0,323.3999938964844,328.0,572765
2024-11-01,321.5606384277344,327.04998779296875,329.0,324.5,328.8999938964844,198924
2024-11-04,316.1037902832031,321.5,327.8999938964844,319.8500061035156,327.0,469259
2024-11-05,325.7392883300781,331.29998779296875,332.6000061035156,319.0,320.95001220703125,636427
2024-11-06,325.985107421875,331.54998779296875,345.0,330.0,332.0,924989
2024-11-07,324.7069091796875,330.25,334.95001220703125,329.04998779296875,332.0,368368
2024-11-08,321.5606384277344,327.04998779296875,338.70001220703125,325.0,332.0,414210
2024-11-11,323.52703857421875,329.04998779296875,331.5,320.29998779296875,324.1000061035156,314555
2024-11-12,311.04022216796875,316.3500061035156,332.5,313.25,328.0,600225
2024-11-13,303.02703857421875,308.20001220703125,320.04998779296875,306.1000061035156,315.6000061035156,447317
2024-11-14,310.3519592285156,315.6499938964844,319.04998779296875,310.0,310.0,279350
2024-11-18,309.6145324707031,314.8999938964844,319.20001220703125,308.79998779296875,315.6499938964844,230200
2024-11-19,306.6649169921875,311.8999938964844,320.8500061035156,310.6499938964844,315.3500061035156,194042
2024-11-21,306.2225036621094,311.45001220703125,314.0,307.0,310.1000061035156,205057
2024-11-22,309.8603820800781,315.1499938964844,323.70001220703125,308.3999938964844,312.0,527315
2024-11-25,311.0893859863281,316.3999938964844,324.0,315.29998779296875,318.1000061035156,300280
2024-11-26,313.498291015625,318.8500061035156,323.8999938964844,316.0,316.25,236172
2024-11-27,316.44793701171875,321.8500061035156,323.5,317.8500061035156,319.0,261509
2024-11-28,317.7261047363281,323.1499938964844,329.79998779296875,321.1000061035156,322.8999938964844,279027
2024-11-29,331.09783935546875,336.75,339.0,328.20001220703125,338.0,1866037
2024-12-02,339.7009582519531,345.5,349.95001220703125,333.04998779296875,338.5,1207202
2024-12-03,339.5534973144531,345.3500061035156,352.0,342.6000061035156,346.45001220703125,669090
2024-12-04,346.6817932128906,352.6000061035156,360.3999938964844,338.8999938964844,345.70001220703125,1059220
2024-12-05,344.7153625488281,350.6000061035156,356.3500061035156,346.45001220703125,354.0,818267
2024-12-06,361.9707946777344,368.1499938964844,370.0,348.8999938964844,351.20001220703125,1793305
2024-12-09,372.0487365722656,378.3999938964844,382.0,369.6000061035156,374.3999938964844,2031495
2024-12-10,370.2789611816406,376.6000061035156,385.0,374.25,384.29998779296875,927223
2024-12-11,367.624267578125,373.8999938964844,379.8500061035156,373.0,377.8500061035156,393992
2024-12-12,365.6086730957031,371.8500061035156,381.1000061035156,369.54998779296875,374.95001220703125,747082
2024-12-13,366.1986389160156,372.45001220703125,375.0,363.20001220703125,365.6000061035156,746698
2024-12-16,372.2453918457031,378.6000061035156,383.3999938964844,370.6000061035156,375.0,519970
2024-12-17,388.12432861328125,394.75,406.5,378.04998779296875,378.5,2827334
2024-12-18,387.28857421875,393.8999938964844,399.75,390.29998779296875,395.0,728654
2024-12-19,383.6998596191406,390.25,401.70001220703125,382.5,386.45001220703125,737739
2024-12-20,380.11114501953125,386.6000061035156,399.0,385.20001220703125,390.95001220703125,803032
2024-12-23,399.9720458984375,406.79998779296875,411.0,387.20001220703125,390.0,1431233
2024-12-24,410.4433288574219,417.45001220703125,422.3999938964844,407.1499938964844,408.0,2943311
2024-12-26,415.31024169921875,422.3999938964844,426.6000061035156,417.45001220703125,417.45001220703125,735167
2024-12-27,415.31024169921875,422.3999938964844,426.5,415.45001220703125,421.0,876744
2024-12-30,417.2275390625,424.3500061035156,436.8999938964844,415.8500061035156,422.20001220703125,1461642
2024-12-31,422.3402099609375,429.54998779296875,433.3999938964844,420.1000061035156,422.29998779296875,534840
2025-01-01,421.9961242675781,429.20001220703125,436.0,427.1499938964844,429.54998779296875,386819
2025-01-02,429.7635192871094,437.1000061035156,444.3999938964844,431.0,431.0,588773
2025-01-03,430.1076354980469,437.45001220703125,441.8999938964844,433.79998779296875,437.0,565295
2025-01-06,417.2275390625,424.3500061035156,437.45001220703125,421.70001220703125,432.0,1009577
2025-01-07,425.38818359375,432.6499938964844,435.45001220703125,423.75,424.5,294726
2025-01-08,426.22393798828125,433.5,438.5,428.25,430.04998779296875,459791
2025-01-09,421.94696044921875,429.1499938964844,436.6499938964844,424.6499938964844,432.0,391066
2025-01-10,407.64117431640625,414.6000061035156,427.3999938964844,408.0,427.25,632130
2025-01-13,378.734619140625,385.20001220703125,411.75,383.29998779296875,400.0,760713
2025-01-14,386.7478332519531,393.3500061035156,396.95001220703125,383.54998779296875,389.0,300466
2025-01-15,399.7754211425781,406.6000061035156,410.0,395.6000061035156,399.0,422197
2025-01-16,402.3318176269531,409.20001220703125,414.3999938964844,406.75,413.29998779296875,324189
2025-01-17,396.9241027832031,403.70001220703125,410.0,399.79998779296875,403.0,307750
2025-01-20,401.6435241699219,408.5,414.29998779296875,399.79998779296875,409.1000061035156,474002
2025-01-21,392.84375,399.54998779296875,413.6499938964844,395.8500061035156,410.6000061035156,282956
2025-01-22,386.4036865234375,393.0,403.0,384.8999938964844,401.0,416126
2025-01-23,398.3989562988281,405.20001220703125,407.0,388.0,388.0,243909
2025-01-24,387.8293762207031,394.45001220703125,411.25,391.54998779296875,409.8999938964844,738814
2025-01-27,373.7693786621094,380.1499938964844,392.3500061035156,370.0,391.0,692102
2025-01-28,364.62548828125,370.8500061035156,386.04998779296875,356.1499938964844,380.1499938964844,584461
2025-01-29,382.8149719238281,389.3500061035156,391.0,373.29998779296875,379.95001220703125,323339
2025-01-30,387.78021240234375,394.3999938964844,419.70001220703125,392.3500061035156,419.0,1399461
2025-01-31,380.5535583496094,387.04998779296875,399.54998779296875,385.1000061035156,396.95001220703125,436557
2025-02-01,394.22027587890625,400.95001220703125,418.0,376.54998779296875,387.0,957233
2025-02-03,391.61474609375,398.29998779296875,413.04998779296875,390.0,399.0,527420
2025-02-04,394.2694091796875,401.0,404.6499938964844,397.1499938964844,402.0,251435
2025-02-05,392.1063232421875,398.79998779296875,412.79998779296875,396.0,408.0,531942
2025-02-06,385.4696350097656,392.04998779296875,401.0,390.45001220703125,401.0,239149
2025-02-07,385.12554931640625,391.70001220703125,393.79998779296875,385.75,392.04998779296875,211874
2025-02-10,363.0032043457031,369.20001220703125,392.0,366.6000061035156,392.0,520599
2025-02-11,342.6997375488281,348.54998779296875,369.3500061035156,345.75,369.20001220703125,409529
2025-02-12,350.61468505859375,356.6000061035156,360.0,341.0,350.0,750103
2025-02-13,342.4539489746094,348.29998779296875,365.0,347.0,358.1000061035156,457074
2025-02-14,321.5606384277344,327.04998779296875,351.70001220703125,321.20001220703125,348.95001220703125,1061204
2025-02-17,327.65655517578125,333.25,337.0,316.45001220703125,325.0,997295
2025-02-18,319.74169921875,325.20001220703125,337.0,324.0,333.25,413891
2025-02-19,330.99951171875,336.6499938964844,346.1000061035156,322.0,325.20001220703125,579580
2025-02-20,332.7693176269531,338.45001220703125,344.8999938964844,334.3500061035156,336.6499938964844,277166
2025-02-21,326.42755126953125,332.0,347.29998779296875,327.8999938964844,341.0,477882
2025-02-24,324.7560729980469,330.29998779296875,333.70001220703125,321.20001220703125,332.0,224057
2025-02-25,319.79083251953125,325.25,332.8500061035156,324.0,331.0,207323
2025-02-27,312.46588134765625,317.79998779296875,329.79998779296875,314.0,329.79998779296875,387294
2025-02-28,306.5174255371094,311.75,325.6000061035156,307.25,316.5,1815686
2025-03-03,305.5342102050781,310.75,318.95001220703125,305.04998779296875,315.0,459935
2025-03-04,309.8603820800781,315.1499938964844,318.29998779296875,305.79998779296875,305.8500061035156,372022
2025-03-05,317.8735656738281,323.29998779296875,325.1000061035156,314.0,315.0,555202
2025-03-06,326.7716979980469,332.3500061035156,334.70001220703125,323.29998779296875,323.29998779296875,1972296
2025-03-07,329.2297058105469,334.8500061035156,343.0,333.95001220703125,334.0,552655
2025-03-10,315.41552734375,320.79998779296875,337.5,318.25,337.0,463561
2025-03-11,321.364013671875,326.8500061035156,328.6000061035156,315.0,315.0,415215
2025-03-12,321.06903076171875,326.54998779296875,331.0,323.29998779296875,328.8999938964844,290088
2025-03-13,316.05462646484375,321.45001220703125,329.29998779296875,318.6499938964844,326.45001220703125,244249
2025-03-17,305.7799987792969,311.0,324.5,306.70001220703125,317.5,536606
2025-03-18,305.7799987792969,311.0,311.0,311.0,311.0,0
2025-03-19,311.2368469238281,316.54998779296875,319.6000061035156,315.1499938964844,316.0,385680
2025-03-20,313.2524719238281,318.6000061035156,324.0,314.0,318.0,613669
2025-03-21,314.6781311035156,320.04998779296875,324.25,318.04998779296875,318.6000061035156,389965
2025-03-24,321.1673583984375,326.6499938964844,333.1499938964844,324.1000061035156,325.0,684547
2025-03-25,312.2200622558594,317.54998779296875,330.0,315.0,330.0,506349
2025-03-26,310.3028259277344,315.6000061035156,321.45001220703125,312.95001220703125,319.1000061035156,589554
2025-03-27,313.498291015625,318.8500061035156,320.8999938964844,312.04998779296875,315.6000061035156,1233636
2025-03-28,301.0605773925781,306.20001220703125,323.6499938964844,294.75,319.0,2786143
2025-04-01,300.6181335449219,305.75,307.3999938964844,300.3999938964844,300.3999938964844,378850
2025-04-02,308.8280029296875,314.1000061035156,316.5,302.04998779296875,306.0,439754
2025-04-03,309.712890625,315.0,317.1000061035156,309.6000061035156,313.95001220703125,364603
2025-04-04,304.5509948730469,309.75,317.29998779296875,307.0,317.0,1285674
2025-04-07,301.01141357421875,306.1499938964844,308.04998779296875,279.0,279.0,905387
2025-04-08,307.943115234375,313.20001220703125,314.5,305.1499938964844,313.8999938964844,240261
2025-04-09,307.5006408691406,312.75,314.20001220703125,309.6000061035156,311.70001220703125,101794
2025-04-11,313.6949157714844,319.04998779296875,322.0,312.0,322.0,258596
2025-04-15,304.1085510253906,309.29998779296875,331.25,287.54998779296875,321.3500061035156,6712121
2025-04-16,305.4358825683594,310.6499938964844,315.45001220703125,307.20001220703125,310.0,726897
2025-04-17,314.6781311035156,320.04998779296875,322.6000061035156,311.6000061035156,316.1499938964844,568077
2025-04-21,319.8399963378906,325.29998779296875,328.6000061035156,315.8500061035156,321.0,382889
2025-04-22,324.5594482421875,330.1000061035156,332.25,322.20001220703125,328.0,381369
2025-04-23,327.50909423828125,333.1000061035156,339.8999938964844,326.04998779296875,339.8999938964844,445473
2025-04-24,320.2333068847656,325.70001220703125,335.70001220703125,324.54998779296875,333.04998779296875,258273
2025-04-25,315.7596740722656,321.1499938964844,328.54998779296875,314.79998779296875,327.0,496528
2025-04-28,312.7117004394531,318.04998779296875,321.0,312.54998779296875,318.75,653291
2025-04-29,309.7620544433594,315.04998779296875,324.5,313.75,323.0,199996
2025-04-30,302.0929870605469,307.25,318.0,305.8999938964844,318.0,322134
2025-05-02,299.6349182128906,304.75,311.29998779296875,302.1000061035156,308.0,233449
2025-05-05,311.04022216796875,316.3500061035156,319.0,306.0,308.0,201827
2025-05-06,302.5354309082031,307.70001220703125,318.0,306.8999938964844,316.0,440358
2025-05-07,318.2668762207031,323.70001220703125,324.6499938964844,307.0,308.0,645307
2025-05-08,312.7608642578125,318.1000061035156,329.0,313.0,321.29998779296875,268561
2025-05-09,323.52703857421875,329.04998779296875,334.1499938964844,306.5,307.0,1052538
2025-05-12,346.190185546875,352.1000061035156,355.0,332.8500061035156,335.0,931078
2025-05-13,374.5068054199219,380.8999938964844,382.75,351.5,352.1000061035156,2036902
2025-05-14,386.50201416015625,393.1000061035156,397.1000061035156,374.75,383.8999938964844,1177112
2025-05-15,402.5284118652344,409.3999938964844,411.6000061035156,393.20001220703125,397.0,1446934
2025-05-16,383.4049072265625,389.95001220703125,428.6499938964844,388.95001220703125,417.5,1665394
2025-05-19,385.96124267578125,392.54998779296875,399.6000061035156,376.29998779296875,389.0,862945
2025-05-20,393.7286682128906,400.45001220703125,412.0,392.70001220703125,392.70001220703125,1184538
2025-05-21,386.2562255859375,392.8500061035156,402.0,390.25,400.0,418970
2025-05-22,393.0404052734375,399.75,404.95001220703125,391.54998779296875,391.8500061035156,554728
2025-05-23,388.7142639160156,395.3500061035156,399.0,392.70001220703125,399.0,345747
2025-05-26,391.31976318359375,398.0,403.0,394.04998779296875,395.0,436560
2025-05-27,398.3006286621094,405.1000061035156,412.0,396.04998779296875,398.45001220703125,596281
2025-05-28,389.35333251953125,396.0,408.95001220703125,393.70001220703125,407.0,258289
2025-05-29,387.4360656738281,394.04998779296875,401.8999938964844,391.6499938964844,397.25,210073
2025-05-30,392.9912414550781,399.70001220703125,400.3500061035156,393.54998779296875,396.0,221386
2025-06-02,391.4180908203125,398.1000061035156,405.0,394.54998779296875,400.0,180974
2025-06-03,387.23944091796875,393.8500061035156,400.0,392.95001220703125,399.5,196415
2025-06-04,397.2190856933594,404.0,410.25,390.0,400.0,788422
2025-06-05,416.58843994140625,423.70001220703125,424.20001220703125,400.79998779296875,406.25,1330921
2025-06-06,421.2586975097656,428.45001220703125,433.29998779296875,418.5,429.95001220703125,1059718
2025-06-09,422.63519287109375,429.8500061035156,438.70001220703125,427.70001220703125,436.1000061035156,619234
2025-06-10,437.0884704589844,444.54998779296875,454.79998779296875,427.04998779296875,430.29998779296875,1453737
2025-06-11,417.2275390625,424.3500061035156,441.0,417.0,436.0,1564679
2025-06-12,408.4768981933594,415.45001220703125,432.0,411.29998779296875,426.20001220703125,729175
2025-06-13,416.24432373046875,423.3500061035156,429.0,407.20001220703125,410.0,644246
2025-06-16,426.7155456542969,434.0,437.6499938964844,418.6499938964844,423.3500061035156,682170
2025-06-17,426.9613342285156,434.25,442.0,431.70001220703125,435.3999938964844,558919
2025-06-18,419.78387451171875,426.95001220703125,439.70001220703125,425.04998779296875,436.3999938964844,406080
2025-06-19,408.2310791015625,415.20001220703125,432.20001220703125,413.3500061035156,428.95001220703125,335410
2025-06-20,415.5560302734375,422.6499938964844,425.70001220703125,415.1499938964844,415.20001220703125,372841
2025-06-23,423.470947265625,430.70001220703125,432.0,421.0,421.95001220703125,410898
2025-06-24,421.455322265625,428.6499938964844,436.54998779296875,426.54998779296875,430.6000061035156,329608
2025-06-25,425.1915588378906,432.45001220703125,436.75,428.3500061035156,428.6499938964844,293284
2025-06-26,427.9445495605469,435.25,443.0,421.79998779296875,437.0,501072
2025-06-27,421.35162353515625,425.0,435.6000061035156,423.75,434.70001220703125,220314
2025-06-30,427.2505798339844,430.95001220703125,433.0,423.0,427.0,266594
2025-07-01,425.7138671875,429.3999938964844,440.70001220703125,424.70001220703125,435.0,351864
2025-07-02,420.70721435546875,424.3500061035156,429.8500061035156,419.0,429.3999938964844,257714
2025-07-03,420.4097900390625,424.04998779296875,427.1499938964844,420.0,423.95001220703125,256686
2025-07-04,429.1838073730469,432.8999938964844,435.95001220703125,422.0,422.0,580334
2025-07-07,430.77008056640625,434.5,448.0,430.1000061035156,436.0,634221
2025-07-08,438.89971923828125,442.70001220703125,453.8999938964844,434.3999938964844,434.5,706221
2025-07-09,436.8672790527344,440.6499938964844,452.95001220703125,439.1000061035156,442.70001220703125,503450
2025-07-10,439.59368896484375,443.3999938964844,447.79998779296875,438.8999938964844,440.6499938964844,301034
