Date,Open,High,Low,Close,Volume
2021-07-19,1345.3911156206077,1352.533153580218,1339.1637475912771,1342.7781982421875,5669162
2021-07-20,1339.8168557766385,1356.7136349065474,1339.5555215344766,1350.05078125,5069939
2021-07-22,1359.9366819998504,1387.3287286099348,1359.9366819998504,1385.0206298828125,7854575
2021-07-23,1383.5835184231282,1392.2496529655537,1380.5351144285212,1385.23828125,4179719
2021-07-26,1388.4171860985402,1403.7027953972172,1388.4171860985402,1396.9527587890625,4586710
2021-07-27,1397.9108175675212,1401.6560417250942,1391.7269342802642,1395.7769775390625,5892859
2021-07-28,1397.9977413504716,1400.175172293426,1380.9267040216832,1398.4332275390625,4686788
2021-07-29,1393.6432129379934,1410.9755886552064,1393.6432129379934,1408.3626708984375,4660873
2021-07-30,1402.2655636048103,1413.9366150254957,1398.9123411297298,1402.7010498046875,6234257
2021-08-02,1417.4643276437148,1423.822470206854,1410.2788036313543,1421.035400390625,5553389
2021-08-03,1434.4917348838053,1444.638585966481,1424.562626930286,1441.6336669921875,5513668
2021-08-04,1453.7401991220645,1463.146744783546,1427.5675389174712,1436.451416015625,6740391
2021-08-05,1436.6690522625252,1451.0400976473882,1434.5352122939364,1440.196533203125,5420536
2021-08-06,1443.2015868253418,1446.3806580542653,1431.8789431145817,1437.2789306640625,3754855
2021-08-09,1446.6853193592076,1452.3030494440573,1433.9691421507919,1448.6885986328125,5018477
2021-08-10,1452.7821274360933,1463.233797417648,1446.7289110997303,1460.838623046875,6846517
2021-08-11,1458.7048011852285,1466.7177057432823,1452.7821455937024,1461.0999755859375,4899639
2021-08-12,1462.4933514969034,1477.6047016288974,1458.0078222969491,1471.594970703125,5659579
2021-08-13,1478.0403134331104,1500.2501118966013,1473.0758127751071,1491.279052734375,5612790
2021-08-16,1487.3597412491697,1498.0291547007535,1472.030646043933,1484.485595703125,4564109
2021-08-17,1484.0498695811086,1523.2436269461366,1468.9385199499,1516.9290771484375,9510390
2021-08-18,1505.9114463640587,1528.9922175200145,1504.1695013711565,1509.7872314453125,6686090
2021-08-20,1494.676061625354,1519.8471910971896,1494.676061625354,1509.3519287109375,6206972
2021-08-23,1511.790524868996,1526.9454677131089,1508.5243779767254,1514.4034423828125,6189051
2021-08-24,1524.201733492807,1530.2985404267783,1491.7144197309817,1498.8128662109375,7602939
2021-08-25,1496.330844263311,1521.5019722788666,1496.330844263311,1511.616455078125,6153253
2021-08-26,1510.2663441886914,1520.7180143906892,1498.0727289530273,1504.7791748046875,5302248
2021-08-27,1502.4277064883427,1504.7792899357576,1485.1824068076487,1488.3179931640625,6698514
2021-08-30,1483.3095738715613,1496.8967219149827,1472.2917518551153,1478.9547119140625,6559667
2021-08-31,1480.7838114569747,1493.7177308949172,1468.3288630679174,1486.2708740234375,12255438
2021-09-01,1488.927672275753,1488.927672275753,1457.2678392623277,1461.2742919921875,7801974
2021-09-02,1460.9257408190936,1475.688788882233,1448.1224872534362,1471.15966796875,6830050
2021-09-03,1477.2129082319484,1485.835450675509,1467.0660576377923,1481.2193603515625,5339139
2021-09-06,1485.1388033981718,1508.5243941333167,1480.0871202894011,1507.130859375,4876026
2021-09-07,1506.782500124992,1511.0502868517522,1484.137213995946,1486.4453125,3520341
2021-09-08,1481.393539587416,1481.393539587416,1465.8031107394431,1474.774169921875,4584896
2021-09-09,1468.37241383131,1476.2111655562676,1465.1062672792443,1473.3369140625,3331674
2021-09-13,1465.8465907578222,1481.9595806146374,1459.0529633172687,1473.5982666015625,4662374
2021-09-14,1477.12592169284,1477.12592169284,1462.0145685181678,1468.5904541015625,4945167
2021-09-15,1474.7741973936459,1493.8049254065334,1472.117688719493,1490.6258544921875,4062344
