Date,Open,High,Low,Close,Volume
2021-07-19,22586.73430999034,22607.79633671362,22299.19185820291,22394.88671875,1248
2021-07-20,22435.638785828603,22594.977608225916,21916.36750005934,22214.669921875,3530
2021-07-22,22388.93344184568,22637.603422928238,22042.783626269676,22076.666015625,4016
2021-07-23,22252.488491482996,22252.488491482996,21977.766411341232,22176.435546875,2311
2021-07-26,22176.482667919212,22858.70918596851,22060.23015318513,22675.65234375,3636
2021-07-27,22800.102374220838,22903.627532305247,22298.276681351006,22869.607421875,2613
2021-07-28,22870.615503970694,22884.351609378486,22449.146003041664,22657.5234375,994
2021-07-29,22657.521720895445,22791.86010618358,22521.487785224494,22748.8203125,1094
2021-07-30,22801.935590253455,22888.930926842775,22445.712580429816,22582.982421875,1458
2021-08-02,22778.12556954979,22778.12556954979,22435.638677091334,22593.650390625,1022
2021-08-03,22710.361393426287,22722.12829958236,22300.109703738584,22587.33203125,2134
2021-08-04,22664.572509785652,22756.146540128222,22284.586786301275,22327.580078125,1014
2021-08-05,22344.0650651031,22527.213139407224,22078.50035736212,22359.3125,1182
2021-08-06,22394.430230438193,22545.527387993796,22302.031671530993,22386.921875,926
2021-08-09,22344.06337802224,22516.08483611289,22119.93593901524,22270.4375,991
2021-08-10,22435.636076222716,22435.636076222716,21703.043877815446,21906.978515625,12585
2021-08-11,21950.296262900523,21977.814975932193,21519.8982969613,21696.26953125,1898
2021-08-12,21803.776283119336,22862.509776056275,21707.485834010975,22524.326171875,11674
2021-08-13,22572.99939790772,22572.99939790772,21977.768176461876,22047.546875,2093
2021-08-16,22047.362883248225,22343.51364619446,21794.61856709203,21833.30859375,1389
2021-08-17,22069.34352011751,22069.34352011751,21698.46866013213,21776.58203125,4460
2021-08-18,21819.391558571155,21826.99113025122,21464.9535449589,21498.8359375,15171
2021-08-20,21465.000317253052,21785.41643503517,20787.305955472002,20915.189453125,7309
2021-08-23,21244.854285282687,21311.565606783333,20825.71888716406,20878.787109375,3628
2021-08-24,21016.242240805514,21271.275942943394,20833.780965577607,21238.99609375,26375
2021-08-25,21335.69620121458,21419.119787454318,20767.66354841274,20871.095703125,4147
2021-08-26,20895.40921100396,21153.60147987844,20842.249769784994,20904.611328125,1862
2021-08-27,20791.97469781841,20883.548727686277,20673.066177746037,20735.427734375,2514
2021-08-30,20776.45473306099,21119.215272165588,20712.2151899412,21042.888671875,21577
2021-08-31,21153.60220850961,22745.434383630996,21153.60220850961,22336.234375,16209
2021-09-01,22336.234764873603,23171.894356153654,22128.041549162634,22948.544921875,7005
2021-09-02,22948.540998668337,23230.497768509766,22344.06124060384,22475.05859375,4121
2021-09-03,22801.93561713512,22893.509655758153,22344.06542401996,22469.568359375,4348
2021-09-06,22529.95840115834,22884.303391679747,22345.894602490174,22432.203125,1442
2021-09-07,22435.639181149432,22589.43706166498,22087.65783874793,22289.07421875,1896
2021-09-08,22435.636600760525,22550.057632002317,22171.12538164995,22290.720703125,3627
2021-09-09,22298.32282071498,22471.304732643766,21978.911888462673,22177.71875,1147
2021-09-13,22177.7190164206,23225.875019305167,22100.523181290442,23031.693359375,18216
2021-09-14,23131.600604752435,23809.248445113353,23131.600604752435,23539.333984375,5960
2021-09-15,23809.157222298607,23809.157222298607,23131.142728281608,23202.890625,2531
2021-09-16,23294.601363771842,23339.47263772517,22985.081147522338,23037.140625,19396
2021-09-17,23168.229846167967,23259.62144454058,22620.66364315071,23109.53125,4038
2021-09-20,23211.26978541741,23211.26978541741,22497.038841505637,23010.72265625,3534
2021-09-21,22974.734213911568,23168.23086537537,22774.46251469903,22974.4140625,9008
2021-09-22,23122.44125007396,23186.085197277134,22574.14177686676,22641.08203125,7146
2021-09-23,22743.876499702972,23415.480832484205,22619.931400602283,22911.732421875,7564
2021-09-24,23351.3788462276,23351.3788462276,22621.533789739624,22711.4140625,2174
2021-09-27,22985.08112342558,23213.100454092233,22720.385678970568,23014.109375,2910
2021-09-28,23067.498879113195,23140.75810540653,22500.655615668533,22662.375,1346
2021-09-29,22664.574019113617,22706.102486928467,22435.638928011456,22605.646484375,1158
2021-09-30,22637.100309574147,22875.239290995643,22401.29718134942,22740.12109375,1845
2021-10-01,22710.358353106898,22801.932378724265,22435.636276254798,22768.232421875,1336
2021-10-04,23076.65618714813,23714.011453269366,22894.423862495652,23292.6796875,14304
2021-10-05,23292.678516860888,23597.940181109065,23072.25875860525,23126.609375,22642
2021-10-06,23351.287734499445,23804.67042457475,22815.71734792075,23158.662109375,13066
2021-10-07,22908.296640866232,23534.525275755394,22756.28375387108,23105.638671875,3342
2021-10-08,23124.275511989345,23717.675263762238,22847.675421531694,23492.220703125,8108
2021-10-11,23507.052830056862,23682.87496263851,23214.01594242078,23552.83984375,3685
2021-10-12,23688.371421486627,23809.249147929964,23352.477145008295,23744.689453125,31047
2021-10-13,23744.68878510297,24166.387205263018,23498.994940193457,23954.8046875,7367
2021-10-14,24140.746295717745,24267.11845977241,23621.521534710537,23821.244140625,5776
2021-10-18,24067.488537945243,24189.282007831353,23648.99518653207,24135.162109375,3397
2021-10-19,24221.33300792776,24267.120026846336,23616.94435820253,23792.033203125,6478
2021-10-20,23552.841571857018,24312.6771198449,23153.303345633896,23824.541015625,6201
2021-10-21,23992.35030214536,23992.35030214536,23434.024134676085,23571.15625,3193
2021-10-22,23488.73953161603,24083.69531029491,23260.902621438883,23981.361328125,4172
2021-10-25,23824.814512923636,24083.05326807006,23159.071339195096,23943.76953125,3346
