Date,Open,High,Low,Close,Volume
2021-07-19,1733.2662691963424,1738.5467657660074,1692.8315623330432,1700.312255859375,103293
2021-07-20,1700.7522116456357,1705.250368121875,1672.149651812009,1680.950439453125,111360
2021-07-22,1688.2354275689083,1696.5962232753154,1664.5711360636344,1673.2252197265625,131419
2021-07-23,1678.8968486347449,1678.8968486347449,1653.6678777824995,1658.263916015625,42756
2021-07-26,1650.6366291342467,1687.9422142647072,1641.004679786956,1674.3988037109375,69698
2021-07-27,1688.968991670522,1740.8937374622487,1588.1022759007392,1632.2039794921875,240727
2021-07-28,1638.071013030058,1670.682795554846,1617.1446726068637,1661.4420166015625,107633
2021-07-29,1668.2381728234789,1669.2160381064937,1633.279488955695,1649.1697998046875,103286
2021-07-30,1657.383867530559,1686.8175882400992,1645.5027806440735,1661.539794921875,85831
2021-08-02,1664.5222298369958,1696.2540297552569,1624.6253980826853,1646.187255859375,223836
2021-08-03,1647.605364185132,1660.1709101512206,1628.0480570415452,1633.7196044921875,127132
2021-08-04,1645.747339695854,1651.6145316377288,1592.9426122189816,1600.2276611328125,75011
2021-08-05,1608.3930151903407,1640.5158688583224,1594.9473662954347,1629.4659423828125,72531
2021-08-06,1629.4657813579165,1658.7529180412819,1614.504514232521,1627.0211181640625,93434
2021-08-09,1634.7952165766765,1649.609780017159,1600.1298209127365,1607.85498046875,50984
2021-08-10,1607.8550817857772,1621.6919001902431,1592.9915763975487,1614.35791015625,40981
2021-08-11,1622.0829966271658,1678.9947089623101,1582.2349859164995,1637.484375,136424
2021-08-12,1639.8801129353756,1686.230952165711,1629.1235946036588,1680.3148193359375,78404
2021-08-13,1686.817682139638,1720.9940274304415,1675.376705608108,1709.2596435546875,116726
2021-08-16,1722.5095075861104,1755.2679909832916,1692.6846197170348,1719.4781494140625,103044
2021-08-17,1719.478245695663,1729.8435932683792,1686.181886839921,1706.8148193359375,124149
2021-08-18,1700.507764941363,1726.7146028557013,1667.2603445802322,1722.314208984375,79837
2021-08-20,1724.9542809256711,1767.1002488365298,1645.7961376067087,1676.6966552734375,161033
2021-08-23,1677.038917542866,1693.5648642774477,1588.3954080276512,1637.8753662109375,82244
2021-08-24,1642.7157691812854,1686.8174657156083,1625.2608992792816,1659.3394775390625,76587
2021-08-25,1664.2288538200755,1708.1350263890752,1651.3699022104734,1692.782470703125,82301
2021-08-26,1704.9081425718841,1736.3953573372107,1684.2752087121005,1697.9163818359375,91908
2021-08-27,1711.264145751969,1823.718646758527,1696.5961673598092,1809.099609375,540087
2021-08-30,1833.4974345986545,1882.3906995212853,1791.449226765192,1879.1636962890625,656830
2021-08-31,1882.3906450901688,1882.3906450901688,1844.253899553277,1853.7880859375,149686
2021-09-01,1867.722706699231,1868.945038313563,1816.3847788972887,1841.515869140625,130632
2021-09-02,1864.3001543962164,1875.4966640933344,1830.906031245012,1852.4190673828125,199503
2021-09-03,1857.9439534353942,1857.9439534353942,1802.2056348323324,1807.7794189453125,202306
2021-09-06,1813.9400406252853,1831.2971488307294,1799.2720618601213,1810.8597412109375,87428
2021-09-07,1827.239168612604,1856.9662991177495,1794.4318577505048,1828.901611328125,238450
2021-09-08,1818.8294961161248,1855.9883782948414,1817.509401807125,1835.208740234375,238158
2021-09-09,1843.5205095205638,1871.0962625256454,1811.1042517836952,1828.0701904296875,227286
2021-09-13,1823.718712021112,1834.9152215138072,1798.3431562419255,1819.8072509765625,80818
2021-09-14,1846.209671644756,1874.5677651181131,1829.2437326990155,1865.08251953125,163938
2021-09-15,1876.5233896361478,1882.3905810576262,1848.360823065726,1863.71337890625,159852
2021-09-16,1857.9439330662785,1900.8722404460516,1840.2445963144153,1865.8157958984375,248127
2021-09-17,1858.9219063234834,1872.6120203100845,1794.431738541073,1802.4012451171875,115350
2021-09-20,1802.4011766859528,1842.9337628212436,1799.2720556408606,1833.64404296875,105956
2021-09-21,1829.5859753255208,1862.8333955078126,1813.1089689029614,1833.4974365234375,118562
2021-09-22,1828.608139183208,1861.8555598956302,1823.8165752656942,1827.7769775390625,138187
2021-09-23,1848.1652531458944,1863.7133339111017,1815.895701106839,1856.0859375,119769
2021-09-24,1860.8775292375526,1875.789973967386,1829.6836045847633,1837.1153564453125,56336
2021-09-27,1846.209741408356,1865.815989004859,1804.2592949147656,1813.940185546875,134399
2021-09-28,1828.5102595571884,1828.5102595571884,1750.3788020073318,1760.7930908203125,87735
2021-09-29,1761.037608896434,1798.0987269298867,1757.3216730803144,1780.252685546875,152524
2021-09-30,1794.0895554588892,1837.4090393113268,1780.9862549307916,1829.1949462890625,70990
2021-10-01,1828.607942062931,1832.3726992464572,1779.0302236805283,1817.753662109375,67958
2021-10-04,1818.9270501910617,1851.4900093766719,1804.1613094185343,1831.737060546875,169391
2021-10-05,1816.873473674166,1863.4198315803167,1816.873473674166,1836.3818359375,159998
2021-10-06,1837.4088738768355,1853.9836427405833,1818.9271960828562,1831.8839111328125,60478
2021-10-07,1838.3865611641731,1855.988134622128,1821.7628528983269,1830.07470703125,64748
2021-10-08,1836.3331709315814,1845.7206534276695,1786.559805993299,1799.027587890625,62953
2021-10-11,1805.5303966095591,1828.656933327245,1780.252604118825,1790.080078125,66749
2021-10-12,1799.4676946528893,1818.8294755267943,1778.736997840451,1787.195556640625,83711
2021-10-13,1794.3339490766857,1835.4532341691486,1760.1576033587999,1766.85595703125,132820
2021-10-14,1784.0174348448793,1805.6282335882202,1771.5007115546705,1778.7369384765625,92662
2021-10-18,1797.120968737313,1817.8027251737306,1786.5599753230476,1789.004638671875,92011
2021-10-19,1802.108086068201,1822.7410211789102,1780.6928109263922,1805.3839111328125,93823
2021-10-20,1815.895687224679,1816.7757897835875,1775.0698148813133,1789.73779296875,93490
2021-10-21,1798.9787437044938,1837.1154903841814,1784.653112561782,1833.4974365234375,114209
2021-10-22,1846.2096300067017,1896.0807587833658,1838.7289368165382,1867.0382080078125,338028
2021-10-25,1877.5013838638374,1926.3946490686249,1789.4935064952201,1809.246337890625,335087
2021-10-26,1823.6210169318083,1827.4835371090755,1777.8568732677431,1804.7481689453125,206780
2021-10-27,1877.5503447210224,1890.0669491247475,1824.7456177417357,1838.0933837890625,529236
2021-10-28,1838.0932670408454,1954.752639390092,1837.2132838084099,1939.742431640625,1355503
2021-10-29,1953.7257063258137,2106.077150496769,1911.041986326934,2072.976318359375,960349
2021-11-01,2058.4062976942637,2121.967537290524,1987.1198989503343,2033.666259765625,485302
2021-11-02,2043.738454235691,2068.1850864633907,1996.116462403461,2016.7982177734375,118552
2021-11-03,2020.4652892981946,2097.276658420477,2006.7751747310485,2023.1544189453125,385323
2021-11-04,2030.292606868704,2076.692262527001,2014.4022974832176,2059.041748046875,42743
2021-11-08,2063.29532184472,2077.327781258064,2025.3541089374135,2040.70654296875,194599
2021-11-09,2048.5783452519854,2159.517087779267,2038.310762194398,2136.68408203125,595914
2021-11-10,2136.6848075212533,2172.9147677875785,2103.388443410312,2122.65234375,207186
2021-11-11,2133.5554580524113,2156.1929438045004,2084.9553626154416,2124.216796875,123304
2021-11-12,2112.3840279204874,2182.594786080242,2105.8323798493734,2162.35302734375,258341
2021-11-15,2180.6393072184746,2181.6171723786624,2089.6978473210224,2100.55224609375,91793
2021-11-16,2100.552644041578,2141.476165506389,2092.8273645705813,2128.763916015625,384464
2021-11-17,2109.4509041805727,2161.0822379754586,2102.459263022954,2143.187255859375,216359
2021-11-18,2151.3034670568886,2173.6964849238766,2076.985710922196,2101.97021484375,110299
2021-11-22,2110.3800791545896,2136.293511783557,1934.4621923869472,2053.32177734375,240928
2021-11-23,2033.9595716952417,2107.2994600977145,2033.3240548237331,2056.64599609375,107742
2021-11-24,2058.4061891601705,2063.1976330132134,2010.1973883840608,2039.6312255859375,214763
2021-11-25,2047.7964276258617,2054.9348917324655,1994.8451195787559,2001.6412353515625,248082
2021-11-26,1997.778843838111,2017.5316755061162,1931.284002241933,1950.84130859375,87944
2021-11-29,1911.7266141334956,2072.0965193600396,1910.7976898688405,2037.2357177734375,141832
2021-11-30,2059.384327542604,2116.5894477521206,1977.2436421135542,2016.211669921875,239856
2021-12-01,2010.4910183436973,2041.4893000134387,1963.8468921732267,1973.234375,122697
2021-12-02,1973.2343832057554,2091.653845389436,1973.2343832057554,2066.082763671875,299002
2021-12-03,2044.0316363611885,2083.341768904865,2018.411616356666,2032.3948974609375,54725
2021-12-06,2032.0038892810915,2040.6580918114175,1989.9556856049187,2009.072998046875,57116
2021-12-07,2019.0962130599742,2051.512350556465,1989.955780904319,2019.9761962890625,132978
2021-12-08,2031.5636227156097,2072.5360736295665,2031.5636227156097,2046.4271240234375,176891
2021-12-09,2057.819605733412,2322.430046767089,2053.6636782813025,2249.481201171875,1034082
2021-12-10,2249.0901761318783,2319.4964772977455,2185.8712803713506,2214.278076171875,481269
2021-12-13,2218.7273370619127,2303.8505558124107,2214.424825406493,2256.52197265625,264261
2021-12-14,2253.9797311343077,2268.3543046657915,2210.0247294610394,2222.248046875,71628
2021-12-15,2233.3462097790766,2242.831693102167,2172.2785764701616,2182.64404296875,63111
2021-12-16,2170.958693780675,2224.6433994417835,2145.4363157693506,2185.430908203125,270580
2021-12-17,2180.639505820974,2212.5667107142376,2121.9675908661497,2151.05908203125,169226
2021-12-20,2165.9718170120677,2165.9718170120677,2030.6353438952349,2074.68798828125,102709
2021-12-21,2079.9196989205902,2170.861180819798,2053.615215242261,2152.28173828125,240790
2021-12-22,2154.236963091263,2280.3815696454044,2154.236963091263,2233.884033203125,961653
2021-12-23,2226.5499932663183,2255.8859476045377,2205.085901089509,2213.691162109375,93625
2021-12-24,2232.954985910425,2293.4847409206486,2182.5949325824695,2194.8671875,220693
2021-12-27,2199.6101658175403,2217.5540900198916,2127.1504885015006,2146.9033203125,134745
2021-12-28,2163.331433803649,2208.899813180758,2137.1735372358203,2158.24658203125,182668
2021-12-29,2143.7741143475196,2200.7347672597402,2143.7741143475196,2177.31494140625,182349
2021-12-30,2177.314898516608,2195.356464941451,2163.6247847816276,2185.919921875,197252
2021-12-31,2195.3072350485186,2233.199509150136,2172.816336872075,2184.15966796875,198115
2022-01-03,2201.614612845225,2218.3851446941712,2137.222331027787,2156.6328125,113948
2022-01-04,2174.674255898037,2188.1199019844835,2141.5247221322784,2170.6162109375,353471
2022-01-05,2180.19952808486,2200.098942791734,2151.303562038336,2176.923583984375,222632
2022-01-06,2165.7757418845667,2237.11095550952,2151.352231189008,2175.994384765625,423469
2022-01-07,2187.4357852620683,2213.8381489676735,2167.4384871657085,2177.803955078125,111305
2022-01-10,2193.3024216759645,2245.862669444083,2173.7940611819067,2230.412353515625,289826
2022-01-11,2231.4884387366114,2296.0275434502905,2220.0474633756025,2287.666748046875,255404
2022-01-12,2301.894667037795,2308.2997318068255,2244.6406121727723,2265.17578125,231632
2022-01-13,2268.6474704639063,2275.3946454633015,2245.178703528073,2255.4462890625,128523
2022-01-14,2239.3112180610365,2301.8945883474585,2239.3112180610365,2289.72021484375,190526
2022-01-17,2297.690075604505,2333.088752147654,2262.7803317173025,2269.03857421875,135524
2022-01-18,2282.2401094677953,2350.3975232541293,2252.0241621442938,2316.123291015625,320744
2022-01-19,2316.122623125126,2316.122623125126,2253.001377919173,2292.2138671875,242338
2022-01-20,2296.8099011270474,2361.544531638295,2290.8448277263947,2336.364501953125,209114
2022-01-21,2336.3643582709155,2336.3643582709155,2274.2209789475264,2304.583740234375,415539
2022-01-24,2296.7118303169805,2380.1237753687196,2234.42186800227,2355.09033203125,276068
2022-01-25,2377.0440949030663,2413.469579395307,2307.860121001697,2347.0234375,390068
2022-01-27,2351.7660286673313,2351.7660286673313,2088.6223829380046,2175.21240234375,794479
