Date,Open,High,Low,Close,Volume
2021-07-19,2024.55252023142,2072.4444337546015,2012.412325067625,2057.053955078125,666887
2021-07-20,2127.888221168335,2240.735170139455,2095.5779220774625,2207.086669921875,8593295
2021-07-22,2236.8636471011623,2236.8636471011623,2171.0005330663103,2189.306396484375,1010305
2021-07-23,2194.9463076901143,2270.321060242172,2191.4572760442857,2234.521728515625,1664900
2021-07-26,2234.2829495052188,2270.1301273840086,2206.369993672947,2264.77685546875,695393
2021-07-27,2266.497403310089,2289.439595498803,2252.9233196077753,2267.16650390625,1017264
2021-07-28,2264.585267281932,2291.54229301511,2227.5431908331457,2288.3876953125,437170
2021-07-29,2294.218948286802,2306.645967590022,2246.2315819611404,2259.8056640625,677603
2021-07-30,2260.761603282157,2308.557831681357,2255.981980442237,2288.5791015625,465284
2021-08-02,2289.439561799808,2327.102900069883,2276.247754809462,2317.161376953125,464987
2021-08-03,2313.3376453369656,2333.2209246671096,2286.5717552256287,2325.8603515625,538219
2021-08-04,2325.7648201984675,2346.7473209138893,2287.5278317858338,2292.881103515625,380386
2021-08-05,2294.266796491868,2307.3150734383894,2270.5119777245873,2286.7626953125,399193
2021-08-06,2277.107730004945,2293.071621674148,2232.4658714014954,2238.15380859375,516746
2021-08-09,2244.511273055115,2262.243723528049,2202.450584803656,2210.671630859375,449768
2021-08-10,2221.5687443022425,2227.3042918348647,2167.03319983689,2195.7109375,321608
2021-08-11,2195.7587509242226,2225.3445698734267,2149.444251896144,2175.732177734375,401413
2021-08-12,2177.930970222694,2227.2565410145758,2155.610036800045,2190.979248046875,593594
2021-08-13,2194.277107553476,2220.3260532733802,2173.533590114917,2206.84765625,275083
2021-08-16,2207.9948179573094,2222.524826058111,2189.067463085193,2195.0419921875,293777
2021-08-17,2198.626869585815,2212.965740474418,2170.9050525345156,2206.9912109375,309125
2021-08-18,2213.1088728969385,2259.6625903252557,2209.3330171836055,2252.4453125,965286
2021-08-20,2227.447737968777,2269.1739891214734,2180.4641346019484,2189.59326171875,596640
2021-08-23,2198.6265746825047,2217.7450666362656,2132.237658049076,2161.775634765625,477873
2021-08-24,2167.129000628748,2192.747827643052,2157.5219113258795,2180.416259765625,423186
2021-08-25,2184.4310429455,2203.406239925505,2155.801147371715,2167.415771484375,339700
2021-08-26,2170.7137524217324,2185.721722823497,2158.7168513300517,2175.25439453125,373379
2021-08-27,2179.460286691707,2250.867808998603,2166.4120090046763,2244.606689453125,591864
2021-08-30,2248.3348081002514,2284.6599453059525,2246.4229587736354,2281.314208984375,456720
2021-08-31,2288.29255681338,2313.050912794035,2261.2398415615125,2306.83740234375,580467
2021-09-01,2313.3376869502986,2329.970682752386,2287.5755639307245,2317.209228515625,418473
2021-09-02,2321.8452490650366,2387.8997345949997,2306.7894360867053,2365.148681640625,589580
2021-09-03,2373.8477477889496,2375.4727730301047,2328.9192889026663,2360.177978515625,444256
2021-09-06,2378.2446148758795,2398.4147164049073,2360.1777340788026,2363.762451171875,426552
2021-09-07,2366.869627038454,2384.0762721461647,2336.949136369589,2374.0390625,322194
2021-09-08,2368.877063442139,2377.2890139951874,2324.091898443001,2341.01171875,312258
2021-09-09,2332.456294483986,2354.44256283363,2326.242783863434,2350.3798828125,181417
2021-09-13,2351.574719935702,2370.597527773406,2313.6723996107094,2362.47216796875,265232
2021-09-14,2361.133932014787,2365.9613982683973,2330.1142231872013,2335.276123046875,174874
2021-09-15,2340.103592253279,2370.3109051785023,2334.941692387092,2358.6484375,234175
2021-09-16,2367.442865299218,2370.1192673707214,2309.7527245891324,2322.60986328125,264530
2021-09-17,2332.4562940538303,2336.2799928965414,2267.7402378169545,2289.29638671875,538103
2021-09-20,2273.1885357240735,2284.6596301011505,2217.7449129015354,2223.4326171875,299170
2021-09-21,2223.4329587690286,2236.768061355023,2183.331965191198,2229.503173828125,567297
2021-09-22,2236.194575647317,2274.144737495295,2228.356040210059,2261.28759765625,308803
2021-09-23,2270.320860515596,2275.5784456662636,2236.9113433705397,2247.426513671875,380958
2021-09-24,2263.6294181620447,2268.3611981836334,2180.4639792346384,2197.431640625,434577
2021-09-27,2203.932132967678,2243.316182041151,2185.721721630805,2229.072998046875,363257
2021-09-28,2231.1284279986553,2253.974936801368,2185.291881648733,2198.865966796875,304307
2021-09-29,2189.067370167739,2192.2698109826615,2146.146448270612,2171.00048828125,518866
2021-09-30,2170.1402959460347,2176.544945021748,2151.977725903828,2155.13232421875,300368
2021-10-01,2138.403629429993,2158.478048839036,2113.8842533609723,2138.881591796875,319800
2021-10-04,2146.050777243612,2183.283994609315,2134.5796817750493,2165.79052734375,394631
2021-10-05,2153.841705266738,2183.33207644642,2153.841705266738,2163.9267578125,251071
2021-10-06,2166.0772947192963,2177.5962327935295,2097.6332335761035,2106.140869140625,446408
2021-10-07,2117.659896484033,2175.684475313983,2117.659896484033,2165.98193359375,318393
2021-10-08,2172.816868375851,2184.1922790861568,2136.921848797282,2142.131591796875,249365
2021-10-11,2150.83079536766,2174.5377770326168,2143.326692351791,2150.6875,211576
2021-10-12,2146.050861463711,2159.4338067022372,2128.7963746766018,2146.672119140625,183872
2021-10-13,2158.000039651109,2169.757960297313,2150.8306043034313,2160.10302734375,280779
2021-10-14,2169.9487926726847,2245.944796645142,2167.081018937875,2208.04248046875,1290679
2021-10-18,2259.805718128809,2259.805718128809,2190.835852697827,2202.83251953125,627590
2021-10-19,2216.789405728354,2225.392728130922,2134.05407528098,2143.900146484375,679577
2021-10-20,2188.1116934682786,2255.026424155382,2123.108812229378,2163.831298828125,3817624
2021-10-21,2185.1961996654513,2185.9609861638914,2105.7589906390645,2137.782470703125,803674
2021-10-22,2142.4185809205005,2159.7687557918775,2069.577158998062,2114.553466796875,528370
2021-10-25,2112.5933020267616,2118.2810065485214,2047.6382740997258,2111.111572265625,683253
2021-10-26,2117.3731329596385,2146.0030300001717,2112.5935096346734,2137.734375,484377
2021-10-27,2139.741664681972,2174.7286005751102,2135.057727201982,2150.2568359375,471518
2021-10-28,2152.742456808928,2222.429275136022,2146.0509838081903,2187.012451171875,889979
2021-10-29,2184.2877845142393,2251.011370515889,2138.92920739366,2230.554443359375,732835
2021-11-01,2241.691301669645,2294.028179864524,2225.7750151220716,2269.652099609375,703217
2021-11-02,2279.8800613250223,2309.5137224994774,2270.2251299774666,2286.571533203125,461093
2021-11-03,2298.186212053429,2321.7020523900264,2288.6269653117306,2313.815673828125,364903
2021-11-04,2318.9775304656737,2330.0185069224212,2312.4295865977633,2324.282958984375,68940
2021-11-08,2345.6958850710453,2418.489456588273,2332.5040777227355,2407.35302734375,878142
2021-11-09,2411.797890174136,2439.997667328372,2391.7713154473904,2426.423583984375,531520
2021-11-10,2419.1585638897836,2455.1492684603527,2402.334429390625,2441.574951171875,414868
2021-11-11,2433.7364555690388,2451.7557296069813,2413.709879679,2445.446533203125,298854
2021-11-12,2454.8144763779383,2464.373722781279,2433.784134290588,2458.59033203125,303364
